underlying,expiration,right,strike,contractSymbol
TSLA,2026-01-02,C,465.0,TSLA260102C00465000
TSLA,2026-01-02,P,465.0,TSLA260102P00465000
TSLA,2026-01-02,C,445.0,TSLA260102C00445000
TSLA,2026-01-02,P,445.0,TSLA260102P00445000
TSLA,2026-01-02,C,490.0,TSLA260102C00490000
TSLA,2026-01-02,P,490.0,TSLA260102P00490000
TSLA,2026-01-02,C,420.0,TSLA260102C00420000
TSLA,2026-01-02,P,420.0,TSLA260102P00420000
TSLA,2026-01-02,C,515.0,TSLA260102C00515000
TSLA,2026-01-02,P,515.0,TSLA260102P00515000
TSLA,2026-01-02,C,375.0,TSLA260102C00375000
TSLA,2026-01-02,P,375.0,TSLA260102P00375000
TSLA,2026-01-02,C,560.0,TSLA260102C00560000
TSLA,2026-01-02,P,560.0,TSLA260102P00560000
TSLA,2026-01-16,C,465.0,TSLA260116C00465000
TSLA,2026-01-16,P,465.0,TSLA260116P00465000
TSLA,2026-01-16,C,445.0,TSLA260116C00445000
TSLA,2026-01-16,P,445.0,TSLA260116P00445000
TSLA,2026-01-16,C,490.0,TSLA260116C00490000
TSLA,2026-01-16,P,490.0,TSLA260116P00490000
TSLA,2026-01-16,C,420.0,TSLA260116C00420000
TSLA,2026-01-16,P,420.0,TSLA260116P00420000
TSLA,2026-01-16,C,515.0,TSLA260116C00515000
TSLA,2026-01-16,P,515.0,TSLA260116P00515000
TSLA,2026-01-16,C,375.0,TSLA260116C00375000
TSLA,2026-01-16,P,375.0,TSLA260116P00375000
TSLA,2026-01-16,C,560.0,TSLA260116C00560000
TSLA,2026-01-16,P,560.0,TSLA260116P00560000
TSLA,2026-02-20,C,465.0,TSLA260220C00465000
TSLA,2026-02-20,P,465.0,TSLA260220P00465000
TSLA,2026-02-20,C,445.0,TSLA260220C00445000
TSLA,2026-02-20,P,445.0,TSLA260220P00445000
TSLA,2026-02-20,C,490.0,TSLA260220C00490000
TSLA,2026-02-20,P,490.0,TSLA260220P00490000
TSLA,2026-02-20,C,420.0,TSLA260220C00420000
TSLA,2026-02-20,P,420.0,TSLA260220P00420000
TSLA,2026-02-20,C,515.0,TSLA260220C00515000
TSLA,2026-02-20,P,515.0,TSLA260220P00515000
TSLA,2026-02-20,C,375.0,TSLA260220C00375000
TSLA,2026-02-20,P,375.0,TSLA260220P00375000
TSLA,2026-02-20,C,560.0,TSLA260220C00560000
TSLA,2026-02-20,P,560.0,TSLA260220P00560000
TSLA,2026-04-17,C,465.0,TSLA260417C00465000
TSLA,2026-04-17,P,465.0,TSLA260417P00465000
TSLA,2026-04-17,C,445.0,TSLA260417C00445000
TSLA,2026-04-17,P,445.0,TSLA260417P00445000
TSLA,2026-04-17,C,490.0,TSLA260417C00490000
TSLA,2026-04-17,P,490.0,TSLA260417P00490000
TSLA,2026-04-17,C,420.0,TSLA260417C00420000
