date,S,underlying
2024-01-02,159.97000122070312,JNJ
2024-01-03,160.97000122070312,JNJ
2024-01-04,160.6300048828125,JNJ
2024-01-05,161.1300048828125,JNJ
2024-01-08,161.52999877929688,JNJ
2024-01-09,161.6300048828125,JNJ
2024-01-10,161.8699951171875,JNJ
2024-01-11,161.14999389648438,JNJ
2024-01-12,162.38999938964844,JNJ
2024-01-16,160.52000427246094,JNJ
2024-01-17,160.42999267578125,JNJ
2024-01-18,161.2100067138672,JNJ
2024-01-19,161.67999267578125,JNJ
2024-01-22,162.47000122070312,JNJ
2024-01-23,159.80999755859375,JNJ
2024-01-24,158.9600067138672,JNJ
2024-01-25,159.55999755859375,JNJ
2024-01-26,159.5,JNJ
2024-01-29,159.36000061035156,JNJ
2024-01-30,158.77000427246094,JNJ
2024-01-31,158.89999389648438,JNJ
2024-02-01,158.36000061035156,JNJ
2024-02-02,156.61000061035156,JNJ
2024-02-05,155.8000030517578,JNJ
2024-02-06,158.05999755859375,JNJ
2024-02-07,157.97999572753906,JNJ
2024-02-08,156.39999389648438,JNJ
2024-02-09,156.75999450683594,JNJ
2024-02-12,157.85000610351562,JNJ
2024-02-13,156.47000122070312,JNJ
2024-02-14,155.74000549316406,JNJ
2024-02-15,157.9199981689453,JNJ
2024-02-16,156.5500030517578,JNJ
2024-02-20,157.86000061035156,JNJ
2024-02-21,158.67999267578125,JNJ
2024-02-22,160.4499969482422,JNJ
2024-02-23,161.83999633789062,JNJ
2024-02-26,160.7899932861328,JNJ
2024-02-27,160.97999572753906,JNJ
2024-02-28,161.5500030517578,JNJ
2024-02-29,161.3800048828125,JNJ
2024-03-01,162.1199951171875,JNJ
2024-03-04,159.83999633789062,JNJ
2024-03-05,159.97000122070312,JNJ
2024-03-06,159.33999633789062,JNJ
2024-03-07,158.8699951171875,JNJ
2024-03-08,159.52000427246094,JNJ
2024-03-11,161.22999572753906,JNJ
2024-03-12,162.74000549316406,JNJ
2024-03-13,161.10000610351562,JNJ
2024-03-14,159.2100067138672,JNJ
2024-03-15,158.17999267578125,JNJ
